
Red	Green	Blue		HEX		Name
255	153	102		#FF9966		Orange
255	140	105		#FF8C69		Orange
233	150	122		#E9967A		Orange
255	127	80		#FF7F50		Orange
233	116	81		#E97451		Orange
255	90	54		#FF5A36		Orange
226	114	91		#E2725B		Orange
255	56	0		  #FF3800		Orange
226	88	34		#E25822		Orange
152	129	123		#98817B		Orange
205	91	69		#CD5B45		Orange
152	105	96		#986960		Orange
203	65	11		#CB410B		Orange
194	59	34		#C23B22		Orange
192	64	0		  #C04000		Orange
183	65	14		#B7410E		Orange
121	68	59		#79443B		Orange
138	51	36		#8A3324		Brown
109	53	26		#6D351A		Brown
55	245	238		#FFF5EE		Orange
247	231	206		#F7E7CE		Yellow
255	229	180		#FFE5B4		Orange
245	222	179		#F5DEB3		Orange
250	214	165		#FAD6A5		Orange
251	206	177		#FBCEB1		Orange
237	201	175		#EDC9AF		Orange
255	179	71		#FFB347		Orange
222	184	135		#DEB887		Orange
255	168	18		#FFA812		Orange
255	167	0		  #FFA700		Yellow
229	170	112		#E5AA70		Yellow
225	169	95		#E1A95F		Yellow
227	168	87		#E3A857		Yellow
195	176	145		#C3B091		Brown
255	140	0		  #FF8C00		Orange
228	155	15		#E49B0F		Orange
237	145	33		#ED9121		Orange
255	127	0	   	#FF7F00		Orange
242	133	0		  #F28500		Orange
237	135	45		#ED872D		Orange
255	117	24		#FF7518		Orange
193	154	107		#C19A6B		Brown
255	103	0		  #FF6700		Orange
205	127	50		#CD7F32		Orange
204	119	34		#CC7722		Orange
210	105	30		#D2691E		Orange
184	115	51		#B87333		Orange
160	120	90		#A0785A		Brown
204	85	0		  #CC5500		Orange
138	121	93		#8A795D		Brown
153	101	21		#996515		Brown
131	105	83		#836953		Brown
130	102	68		#826644		Brown
150	75	0		  #964B00		Brown
123	63	0		  #7B3F00		Brown
112	66	20		#704214		Brown
101	67	33		#654321		Brown
72	60	50		#483C32		Brown
61	43	31		#3D2B1F		Brown
255	248	220		#FFF8DC		Yellow
250	240	190		#FAF0BE		Yellow
240	234	214		#F0EAD6		Yellow
229	228	226		#E5E4E2		White
243	229	171		#F3E5AB		Yellow
255	219	88		#FFDB58		Yellow
240	220	130		#F0DC82		Yellow
255	209	42		#FFD12A		Yellow
233	214	107		#E9D66B		Yellow
244	196	48		#F4C430		Yellow
255	191	0		 #FFBF00		Yellow
194	178	128		#C2B280		Yellow
218	165	32		#DAA520		Yellow
184	134	11		#B8860B		Yellow
145	129	81		#918151		Brown
150	113	23		#967117		Brown
255	255	240		#FFFFF0		White
255	253	208		#FFFDD0		Yellow
253	253	150		#FDFD96		Yellow
245	245	220		#F5F5DC		Yellow
255	255	49		#FFFF31		Yellow
255	255	0		  #FFFF00		Yellow
252	247	94		#FCF75E		Yellow
255	247	0		  #FFF700		Yellow
255	239	0		  #FFEF00		Yellow
247	233	142		#F7E98E		Yellow
251	236	93		#FBEC5D		Yellow
255	223	0		  #FFDF00		Yellow
238	230	0		  #EEE600		Yellow
240	225	48		#F0E130		Yellow
230	226	0		  #E6E200		Yellow
228	217	111		#E4D96F		Yellow
236	213	64		#ECD540		Yellow
207	207	196		#CFCFC4		Gray
228	208	10		#E4D00A		Yellow
189	183	107		#BDB76B		Yellow
181	166	66		#B5A642		Yellow
223	255	0		  #DFFF00		Green
191	255	0		  #BFFF00		Green
167	252	0		  #A7FC00		Green
209	226	49		#D1E231		Green
164	198	57		#A4C639		Green
141	182	0		  #8DB600		Green
132	132	130		#848482		Grey
128	128	0		  #808000		Green
75	83	32		#4B5320		Green
178	236	93		#B2EC5D		Green
124	252	0		  #7CFC00		Green
102	255	0		  #66FF00		Green
172	225	175		#ACE1AF		Green
119	221	119		#77DD77		Green
147	197	114		#93C572		Green
133	187	101		#85BB65		Green
135	169	107		#87A96B		Green
3	192	60		  #03C03C		Green
120	134	107		#78866B		Green
19	136	8		  #138808		Green
0	128	0		  #008000		Green
85	107	47		#556B2F		Green
65	72	51		#414833		Green
127	255	212		#7FFFD4		Green
0	255	111		  #00FF6F		Green
178	190	181		#B2BEB5		Grey
163	193	173		#A3C1AD		Green
0	204	153		  #00CC99		Green
80	200	120		#50C878		Green
62	180	137		#3EB489		Green
3	192	60		  #03C03C		Green
